GA,Lowest,Q1,Avg.,Q3,Highest
97, -588.3751, 213.80057, 532.6925, 776.5028, 1573.5696
98, -641.7252, 199.02072, 537.5756, 843.6222, 1288.7091
99, -59.760338, 218.1944, 539.6823, 797.6597, 1305.0197
100, -841.1377, 170.2016, 538.4938, 915.12646, 1276.711
101, -121.90763, 224.19547, 557.4535, 842.95856, 1550.0966
102, -546.77704, 148.76102, 484.5427, 857.8354, 1370.4489
103, -1177.8473, 141.13834, 437.91644, 700.6288, 1368.8517
104, -955.3436, 163.53317, 402.24112, 705.792, 1859.3885
105, -791.86975, 212.4313, 508.35458, 778.45996, 1345.7599
106, -588.40186, 218.05136, 519.25385, 821.4887, 1536.3497
107, -441.20444, 219.7431, 541.02466, 862.51715, 1608.942
108, -841.4139, 207.40271, 486.86743, 788.01996, 1559.35
109, -400.7707, 174.45776, 495.86612, 812.7026, 1312.3319
110, -276.76773, 139.56372, 411.10266, 660.3002, 1360.9305
111, -1111.4413, 106.549194, 374.18643, 679.88904, 1360.867
112, -558.7274, 125.77919, 456.46863, 792.7588, 1636.2498
113, -823.90875, 163.72995, 484.4604, 818.2684, 1378.357
114, -487.32544, 173.16959, 490.58896, 771.6208, 1425.671
115, -383.07654, 176.52597, 483.58716, 705.8868, 1639.8291
116, -627.58545, 192.91742, 511.78207, 793.10345, 1319.5826
117, -532.1344, 145.88596, 417.4863, 714.3964, 1329.8623
118, -914.4376, 185.80273, 502.6201, 774.5688, 1394.4227
119, -905.6896, 181.57248, 530.05695, 879.7176, 1630.5868
120, -446.48505, 163.27411, 485.7193, 836.4579, 1476.2867
121, -338.27887, 150.86636, 517.469, 808.2094, 1748.7393
122, -385.88712, 195.71313, 598.2929, 943.1415, 1594.6149
123, -673.7621, 177.23514, 492.01376, 793.11005, 1539.6118
124, -610.6903, 273.12103, 622.58826, 929.79004, 1506.1566
125, -521.52936, 159.23752, 560.62354, 936.011, 1526.0101
126, -1041.051, 134.77432, 540.363, 887.0369, 1633.4366
127, -902.2275, 137.95511, 453.68237, 797.04645, 1632.8291
128, -321.57697, 210.63199, 569.22076, 919.80115, 1679.8234
129, -855.6722, 172.59814, 548.9263, 906.28723, 1580.5262
130, -613.5835, 180.38818, 545.0283, 962.95984, 1446.2899
131, -641.0485, 256.57513, 657.0588, 1046.8151, 1523.3344
132, -714.8208, 225.36758, 603.3938, 984.6996, 1637.403
133, -765.6849, 269.3059, 644.2815, 995.4944, 1611.5192
134, -595.0668, 125.4335, 513.14667, 958.5886, 1538.2285
135, -455.2993, 251.55759, 623.0018, 973.03845, 2010.565
136, -225.99875, 305.92795, 663.4674, 948.4579, 1778.4921
137, -707.17554, 364.57825, 685.3738, 1046.4716, 1852.6035
138, -544.91675, 360.77444, 734.3572, 1151.9912, 1589.4186
139, -493.5704, 378.77512, 755.91174, 1144.7899, 1673.1044
140, -752.05975, 248.83505, 697.854, 1174.3408, 1574.8379
141, -956.1108, 136.94525, 607.8616, 1066.5953, 1673.5073
142, -457.74207, 297.09048, 744.86444, 1161.26, 1657.5992
143, -283.96832, 304.9782, 671.9375, 1060.2257, 1635.9528
144, -271.42285, 337.1359, 785.11053, 1163.0907, 1876.7865
145, -640.969, 527.69275, 792.92377, 1156.9779, 1694.9001
146, -771.05145, 300.77628, 773.3843, 1178.7383, 1676.7448
147, -679.70465, 273.67236, 699.40765, 1097.3923, 1640.9396
148, -550.9186, 223.47314, 681.1322, 1074.5636, 1579.0698
149, -609.5582, 412.4723, 765.0054, 1209.052, 1646.035
150, -396.82147, 336.36426, 793.62756, 1207.7306, 1833.4824
151, -515.0083, 249.37607, 688.1649, 1030.4435, 1751.5492
152, -241.0939, 367.74927, 772.784, 1132.6881, 1683.6371
153, -367.70642, 305.6781, 717.2024, 1135.2572, 1529.5328
154, -587.94495, 402.80756, 783.5506, 1131.9299, 1619.726
155, -292.62292, 432.47034, 851.2843, 1222.9615, 1806.9948
156, -594.89307, 342.2623, 761.0832, 1191.7145, 1816.9126
157, -161.22581, 280.19186, 728.2159, 1128.4347, 1631.858
158, -890.3258, 259.18576, 695.5521, 1130.2811, 1842.5104
159, -389.20352, 305.85742, 724.5261, 1107.0721, 1612.951
160, -381.8913, 228.35284, 666.1343, 1126.696, 1812.6025
161, -324.5335, 268.10892, 667.886, 1027.2548, 1615.8738
162, -607.0974, 314.65933, 689.5095, 1110.6277, 1746.5286
163, -733.0628, 274.9799, 717.4777, 1214.8674, 1649.2037
164, -820.3227, 382.15204, 787.00085, 1191.6565, 1687.1445
165, -678.9723, 229.89243, 662.0122, 1165.1486, 1726.4738
166, -513.38916, 253.80927, 694.2368, 1140.8213, 1811.8226
167, -450.62393, 261.08698, 717.6711, 1148.4291, 1656.4336
168, -474.1649, 493.34906, 805.6778, 1122.431, 1485.0128
169, -755.5957, 323.13406, 743.4431, 1198.7687, 1641.1344
170, -370.42065, 275.61844, 711.3066, 1110.0565, 1652.3536
171, -510.40933, 325.0813, 783.3044, 1226.3252, 1769.1791
172, -516.81665, 343.95135, 818.5198, 1269.3224, 1645.8424
173, -503.70004, 396.54108, 806.8184, 1194.8407, 1711.4178
174, -675.37634, 440.6101, 805.3989, 1267.6906, 1808.4966
175, -841.66455, 330.7762, 846.8756, 1301.5126, 1913.5143
176, -1241.5486, 353.82617, 851.5718, 1304.4019, 1777.902
177, -752.32947, 339.02347, 867.0902, 1345.9426, 1750.3966
178, -623.1731, 272.84186, 768.75555, 1224.7396, 1769.2784
179, -1024.5393, 220.28714, 681.24963, 1137.8851, 1674.9158
180, -898.4351, 182.1677, 699.342, 1193.1622, 1600.754
181, -1101.967, 242.30026, 750.3164, 1233.6075, 1630.3407
182, -782.14606, 290.7241, 749.267, 1204.6787, 1635.9528
183, -349.7796, 378.29398, 812.106, 1227.8912, 1640.2723
184, -683.1829, 327.53793, 726.5602, 1173.3241, 1801.0237
185, -650.78577, 344.83945, 714.3533, 1087.1006, 1912.4727
186, -553.4916, 195.85278, 642.15356, 1074.4485, 1870.9116
187, -495.24036, 212.03088, 664.3972, 1074.5549, 1724.7139
188, -781.651, 239.94516, 631.0643, 1035.5519, 1847.1167
189, -699.27167, 240.2114, 689.71954, 1045.7545, 1969.581
190, -374.44003, 268.1909, 739.9737, 1057.7562, 1634.7441
191, -1244.2904, 346.56363, 745.47076, 1194.1515, 1662.7272
192, -482.46744, 384.28534, 789.1947, 1209.569, 1584.2561
193, -809.7088, 256.4577, 726.45874, 1223.8428, 1894.7555
194, -144.41087, 480.13702, 851.83594, 1207.7203, 1874.1812
195, -959.00104, 221.9454, 681.71655, 1151.3663, 1739.3262
196, -589.24536, 414.1864, 780.68164, 1225.3385, 1687.244
197, -552.8602, 285.0554, 806.31604, 1214.0164, 1749.0205
198, -746.8294, 262.22168, 747.09296, 1220.5448, 1865.4088
199, -923.7481, 349.0666, 806.7042, 1280.7286, 1583.674
200, -684.4503, 424.38098, 860.89374, 1260.1643, 1735.2858
201, -576.7987, 341.44427, 880.7707, 1328.7626, 1987.7932
202, -234.7109, 338.87988, 822.25366, 1168.3434, 2079.8887
203, -1086.2751, 235.03696, 772.64, 1215.6904, 1884.4122
204, -1090.1279, 329.1083, 713.56366, 1143.7858, 1682.282
205, -623.871, 216.5156, 688.2049, 1156.2351, 1792.16
206, -252.71744, 247.02213, 706.37695, 1082.5078, 1724.2074
207, -877.08606, 296.32263, 721.79095, 1157.1682, 1726.8202
208, -754.30804, 277.68524, 715.44135, 1183.5897, 1686.471
209, -671.4879, 286.37808, 718.0486, 1137.5211, 1800.4541
210, -1030.7219, 302.53217, 733.18134, 1187.0038, 1600.3496
211, -500.59573, 303.23495, 763.5617, 1195.5686, 1848.1055
212, -380.29523, 508.35956, 847.8142, 1247.3138, 1879.379
213, -512.84814, 306.7842, 724.84875, 1120.5934, 1589.147
214, -454.39105, 331.5152, 765.609, 1161.4904, 1831.2526
215, -388.7181, 435.1214, 876.27264, 1296.6058, 1959.0286
216, -824.4617, 250.20126, 694.4358, 1178.2059, 1769.5997
217, -666.8066, 311.0253, 692.40344, 1092.3928, 1552.4875
218, -629.99286, 320.3461, 713.1434, 1130.2518, 1742.6776
219, -579.24695, 385.94867, 827.28064, 1246.2188, 1778.9658
220, -358.4126, 533.46783, 868.8375, 1201.8323, 1850.61
221, -538.6007, 596.8282, 892.8119, 1246.8549, 1808.7186
222, -58.145462, 453.72736, 889.93085, 1243.7723, 1664.5217
223, -1129.0845, 457.4881, 883.4614, 1276.7386, 1805.4852
224, -702.96, 369.402, 812.98376, 1217.4072, 1636.5519
225, -870.373, 535.03577, 931.937, 1348.2881, 1658.9478
226, -497.13544, 427.89783, 856.4617, 1240.5011, 1773.0278
227, -458.7352, 413.35437, 840.72974, 1257.879, 1672.9692
228, -779.46985, 488.88043, 892.7452, 1309.0242, 1764.3606
229, -996.10785, 669.71985, 962.1756, 1357.7715, 1734.7422
